,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
81,Wed May 04 21:59:42 +0000 2022,1521972866677362689,Mazi Uche,@TobyfromJupiter You no talk the tough fixtures we got till here,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
82,Wed May 04 21:44:18 +0000 2022,1521968988611297284,Mazi Uche,@Letter_to_Jack Gerrout 😭😂,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
83,Wed May 04 21:37:01 +0000 2022,1521967157499899904,Mazi Uche,"@MrOdanz FT: REAL MADRID 3-1 MANCHESTER CITY

6-5 on AGG 

REAL MADRID TO THE FINAL",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
84,Wed May 04 21:36:42 +0000 2022,1521967077082476544,Mazi Uche,Big Benz balon in full force,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
85,Wed May 04 21:13:57 +0000 2022,1521961351274504193,Mazi Uche,"We beat the 3 oil clubs.
#ucl",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
86,Wed May 04 21:05:38 +0000 2022,1521959259780620289,Mazi Uche,Hala Madrid!!,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
87,Wed May 04 21:04:17 +0000 2022,1521958919064719364,Mazi Uche,@Sujodamystique I love Madrid so fucking much rn 😭😭❤️❤️,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
88,Wed May 04 20:54:49 +0000 2022,1521956534581968904,Mazi Uche,@TrollFootball 🤣,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
89,Wed May 04 20:52:50 +0000 2022,1521956038810947585,Mazi Uche,@realmadriden @RodrygoGoes @MrOdanz youre right o. This boy is a super sub,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
90,Wed May 04 20:37:11 +0000 2022,1521952099495387136,Mazi Uche,@Letter_to_Jack For my mental health,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
91,Wed May 04 20:37:04 +0000 2022,1521952067593584641,Mazi Uche,@Letter_to_Jack I dey mute you this week,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
92,Wed May 04 20:07:03 +0000 2022,1521944515900231686,Mazi Uche,@hackSultan @LinkedIn https://t.co/fJSqJTqjqi https://t.co/lrQXzQrs4j,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
93,Wed May 04 19:50:30 +0000 2022,1521940352529276929,Mazi Uche,@TundeEddnut I just found out the yellow stuff is beans,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
94,Wed May 04 17:59:28 +0000 2022,1521912406385082382,Mazi Uche,"@Letter_to_Jack @MrOdanz Everyone thought we'd fail immediately we appointed antelotti...

They even said he was the fall back guy",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
